,add_agent_schedule,add_task_to_list,check_calendar_availability,complete_execution,create_custom_field,create_document,create_document_page,create_google_calendar_event,create_list,create_subtask,create_task,delete_memory,edit_image,find_similar_assets,find_stale_tasks,follow_up_cursor_agent,generate_image,generate_project_summary,generate_project_update,generate_stand_up,get_cursor_agent,gmail_create_draft,gmail_fetch_drafts,launch_cursor_agent,list_available_calendars,load_assets,load_custom_fields,load_web_pages,manage_personal_priorities,move_task_to_list,post_chat_message,post_reply,post_slack_message,post_task_comment,read_memory,reflect,rename_memory,retrieve_activity,retrieve_chat_messages,retrieve_personal_priorities,retrieve_tasks_by_filters,search_clickup_help_center,search_clickup_support_resources,search_google_calendar,search_public_web,search_users_and_teams,search_workspace,todo_write,update_chat_message,update_comment,update_document,update_google_calendar_event,update_task,view_tools_catalog,write_memory
output_modality=email_external_message,0.008142996454668452,-0.0041462012251088625,0.00536615448695444,-0.0016719949178769147,-0.004815666338534081,-0.0160564140965153,-0.014675718893939985,-0.003035615648912874,-0.00648564706074791,-0.011472419127365713,-0.010802048372456031,-0.0014203910761830347,-0.01391604925059361,-0.002135832184200118,-0.004729954422803953,-0.000813980881321705,-0.0176356503857354,0.00024007385838736067,0.010518572368230221,0.0036382487245357276,-0.0007585511477807085,0.2724330160650698,0.0769298999211857,-0.0010210722692652935,-0.000752449946041193,-0.006191207079766067,0.0006451029157124244,0.013586504633024077,-0.004916592359867376,0.0011195886233337504,-0.020608423963068622,-0.019184732617600096,-0.003802956454465535,0.005391469637446888,0.033222406582743676,-0.0011263565794500348,-0.0005286398923094235,0.011047658742560574,-0.003719004820724026,-0.0028663030762240056,0.024101221365438078,-0.0039214590405916685,-0.0028289293358888766,0.02564459042748473,0.02308971956133775,0.02831753893359058,0.03040453594912275,0.058755263900713714,-0.0013146100642893272,-0.0002853561270685583,-0.007460841791831846,0.0025888095327566423,-0.0132025399220421,0.2310993681976483,0.01566992138732986
output_modality=messages,0.029685738481527515,-0.0037209735817025124,0.01720148439913798,0.00830190369282963,-0.00028871190282843786,-0.1590829524161029,-0.12695840627340235,0.01819257194958176,-0.0167058814812169,-0.05825227998810462,-0.09975143684331449,0.006378215601357893,-0.10105442771059094,0.009088742120515728,0.10402640203539042,0.006505269476196368,-0.13487229716138557,0.08417001350891276,0.0725052340391497,0.06595055653905875,0.006062279521576769,-0.02765178483221149,-0.003214172553314973,0.008160327126426892,0.004429055661916668,-0.032287878019621276,0.0072757268841735535,-0.00829717110396847,0.055999369973469125,-0.0017674785121968408,0.22720784152301812,-0.1519608467601382,0.03664670960639801,0.08323768899103662,0.08081853261637259,0.006511762843781777,-0.0030744578331236717,0.17053524957945865,0.016433478556059884,0.12792741134107538,0.21605620831697978,-0.0031922971541373125,0.011913626500556348,0.05118974248320865,-0.00035464153322060845,0.041868267418536845,-0.02012438990380343,0.1676149511671463,0.007812167723099622,0.016379549816722228,-0.08639331889531275,0.010621471283793208,-0.012443550238940422,-0.011190133638292146,0.010401279740562206
output_modality=structured_document,-0.01657911902326993,-0.011189940317230907,-0.013241972436548418,-0.0013331127950980974,-0.013762629029327947,0.35977553417224567,0.29033873677941235,-0.018514232306120617,-0.01900516717841043,-0.04243428533370103,-0.05827423357786578,-0.0029741218895652415,-0.04752519463536172,-0.003741982571549937,-0.04535960954795269,-0.0028005585376215977,-0.01370160655570117,-0.024219620949706137,-0.021241849500515567,-0.01755904493616603,-0.0026098486363592055,-0.01716607092150023,-0.00940712979164531,-0.003513071039919694,-0.0025888570221659878,0.08664812307830173,-0.06351900319143301,0.035549633801852915,-0.028423284503573502,-0.019473426091073064,-0.094800758813289,0.10437428439107321,-0.016307629412114062,-0.05725177758721765,-0.03540191494623893,-0.003230692722122774,-0.0017806790571102914,-0.046866324325006294,0.007813838719747383,-0.06011857560707983,-0.11132642513898232,-0.00417663808729892,-0.006274469161193493,-0.03033276884854573,0.045867868085427095,-0.02624230435360131,0.07561662009262124,-0.03755225084835121,-0.00413201450717619,-0.00813117712466078,0.21405970468901095,-0.008925294556857843,-0.06378058921666592,-0.003934202213677987,0.009180364906024054
output_modality=task_artifact,-0.00017946342193539736,0.030214611461099748,-0.002966704702814209,-0.00404059255836132,0.02597169303165728,-0.06565997897896382,-0.05435226680764412,-0.002298632737602543,0.06324324678553993,0.1667666363541164,0.2503882175182956,-0.0006773922739547913,-0.04987267161624555,-0.0011204609287171923,-0.043297158932776386,-0.0030736547048366434,-0.053012045686273095,-0.04067376663489984,-0.03930341951980947,-0.03696109178336376,-0.0028643477478851806,-0.014932489369704028,-0.002039970518185727,-0.003855647787831999,-0.0022047382299904316,0.10790864762544815,0.13765918166661145,0.015847221774071475,-0.019103655212217123,0.03928917525098514,-0.11275172424712239,-0.057263735060954064,-0.017936327696759874,0.025581537596736356,0.013485133854581763,-0.002045330208218663,-0.0018773825465817544,-0.08538560123330474,-0.026836519126386495,-0.054243126813362,-0.007289327355288225,-0.0020942000453768633,-0.007077023597222033,-0.016489383255005968,-0.001954105784911309,0.004025108278894988,0.060162364577315615,0.04056394039228348,-0.0019945748383244635,-0.0006109929811148214,-0.04348875892862139,-0.001203268730571482,0.1553321419146016,0.0072564468283677925,0.010852917974218322
output_modality=unknown,-0.0022528731181035077,-0.0032032087558166336,0.010845544084344377,-0.001043484997728272,0.004244205151597853,-0.014125631532953509,-0.01247023116177324,0.048096297281961506,-0.00077454735962528,-0.0016272541317408297,-0.008922560043379607,-0.0013625887066034195,-0.011638108415873379,-0.0018185731049318267,-0.013577932840628812,-0.0007808561845238789,-0.012596199511557136,-0.005904011647557174,-0.010607214559401171,-0.008879684668534157,-0.0007276821466131637,-0.002457553205529464,0.00037884548721817346,-0.000979520053354331,0.0039603379892201845,-0.016139621553250473,-0.014213116287669381,-0.006705415808022948,-0.006460740218560665,-0.0035102041057375865,-0.026228877124033437,0.01541426240020365,0.008841234529781595,-0.01464164840439732,0.0010793338982221477,0.0003363930346088108,0.023435159754923635,-0.019620781807484687,-0.006549619803522735,-0.010018360441004346,-0.02790112109776153,0.0028418852904051215,0.00803869566506932,0.02866521241061896,-0.002272830627881708,-0.006697560703356631,-0.009395974994232793,-0.035235417022542015,-0.0006386326356670094,-0.0005804253102313,-0.005161201606582522,0.016291012280837184,-0.005545255133513498,0.023737206391979956,0.009879691536258164
output_modality=visual_image,-0.028070984126386537,-0.014185232501311134,-0.013593901737902009,-0.005288276008961406,-0.014043078383713931,-0.06286701164098035,-0.050299293490562814,-0.020040710360142846,-0.02407785109629732,-0.052892305142611805,-0.0671552201085622,-0.0044924897625044915,0.2647114664112175,-0.006755325616189726,-0.049772381912972695,-0.002574502781331837,0.28382658675847056,-0.050365643304679374,-0.03996080025821651,-0.034987486446242964,-0.00239918662041898,-0.021141944339470038,-0.010725698905035356,-0.0032295026302041137,-0.002379889409380832,-0.15860105432832847,-0.0941547703927332,-0.04600275730698637,-0.026732106269674264,-0.020306149302698747,-0.09018683117356824,0.17931086016887482,-0.018084744764761282,-0.08762117615285843,-0.10900742910604864,-0.0035625015440865966,0.0006488734194010379,-0.10217260284013163,0.001413212182971909,-0.058837460214746416,-0.1908641102292867,0.011932804910217875,-0.004647258762042329,-0.04366234995067981,-0.05348620950104093,-0.04621939164996936,-0.12631734497809086,-0.26183589643145416,-0.0041745623732697456,-0.014502253787814265,-0.04644301857619602,-0.011357909487721458,-0.08281472085430364,-0.07871088126699265,-0.046370934717992036
