,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
add_agent_schedule,-0.008533379830678686,0.0020428898646170897,0.024790630030419192,0.003219625768329202,-0.03612626867665762,-0.0022541148214771673,0.005369552118982479,0.029862316258866987,2.781524942130773e-05,-0.01418832577144144
add_task_to_list,0.00017277004931340133,-0.0011882705698131918,0.0245790785709788,-0.004707244104506797,-0.018801832043449183,-0.0011136213570465355,-0.0009624670882545271,0.010337839446345616,0.0065985641100974515,-0.00700959083772682
check_calendar_availability,-0.008180773170622926,0.0020620524523221576,0.0032483529419705588,0.008351845303827854,-0.016684324977911138,-0.0010557993531228184,0.009498915185607984,0.013188062977936815,0.0004855808385942852,-0.006645635363671076
complete_execution,0.03174445626472248,-0.0014109258848550652,-0.0011820204286220124,-0.008999402022952012,-0.006984713009199226,-0.0004105304496474683,-0.0009028025683928655,-0.006826068751742595,-0.0018500138222927963,-0.002584047495361121
create_custom_field,-0.003958154336077425,0.008002010841811149,0.006535643522952042,0.027175645131242814,-0.01942895734058667,-0.0014033218048112315,0.003522980641402229,-0.012204339256781792,0.004612831331178555,-0.008833084605592996
create_document,-0.002317494103339981,0.022775541069468126,-0.010329285202208754,0.08864581909252311,-0.07499923983797728,0.017053495328960395,0.006536126581038835,-0.021461416262346183,0.03845007253996795,-0.03637833282694024
