,domain_industry_vertical=creative_design,domain_industry_vertical=education_academic,domain_industry_vertical=finance_accounting,domain_industry_vertical=general_cross_functional,domain_industry_vertical=hr_people,domain_industry_vertical=it_engineering,domain_industry_vertical=legal_compliance,domain_industry_vertical=marketing_content,domain_industry_vertical=personal_productivity,domain_industry_vertical=project_management_ops,domain_industry_vertical=sales_crm,domain_industry_vertical=unknown
trigger=\N,0.012420170678509921,0.006445168169077181,-0.006087846890448993,0.012695183976205974,0.0003174466103618426,0.02831691528466212,0.0020588642468282966,-0.005685247623473409,0.0012951147121027643,-0.02329684193695821,-0.00826710778407323,-0.0022022786703862346
trigger=assignment,-0.03238454834700701,-0.0256004014717476,0.0008305005156509818,0.002596818974587459,0.002518980092304616,0.005739101396951576,0.007490522690094792,0.03440990508110393,-0.006750861697202446,0.0078106540881693705,0.010186588343498856,0.0032945486215311473
trigger=automation,-0.10162547312118857,-0.0783347208783918,0.003275628951107627,-0.03673400268704918,0.020341134187555822,0.016552420602084086,0.004711454217770923,-0.019040224954066903,-0.03256707693519609,0.14435779736083176,0.03743759275165646,-0.00045130979503788893
trigger=dm,0.07233176953578158,0.055546550635130656,-0.001982593517136637,0.02795354372087165,-0.008057912161896419,-0.0015326832107067805,0.005350553755158585,0.0340180612945525,-0.04546545118130814,-0.10299351105217673,-0.00881191927793924,-0.0020741083728947458
trigger=introduction,0.1456330321317621,0.10952632250946112,-0.013260718475383964,0.022106018308312436,-0.00554207880409055,0.001048864667508987,0.0013223532536778897,4.969637772113286e-05,-0.07053900467140053,-0.138153897290996,-0.038384469596309714,-0.0009791402352205627
trigger=manual,-0.011979464077565491,-0.009321946520868308,0.0012273807453557063,0.00011796182669661179,0.004837823825990911,0.00031997799336636664,0.0016012070311299737,0.0016588520691660598,0.0017268417095302117,0.01082740541368131,-0.0009455203858749738,-0.000492100057598534
trigger=mention,-0.021889210423293594,-0.018242240558090168,0.0016560814162207345,0.006516705370795813,0.003591862552564738,0.005167343521052772,-0.002969461229906613,0.003379889137335062,-0.0021151896531453407,0.019903232691947752,0.0010968008532038023,-0.0011168601296483453
trigger=scheduled,-0.166223827315573,-0.10196050001709554,0.018784404245033384,-0.04850784399798953,-0.004442474338740595,-0.04396081378205381,-0.020582103185747443,-0.05234870859307069,0.15975006987146143,0.18957293495190705,0.024136914323370867,-0.001954678012672434
trigger=task_comment_mention,-0.040667355911051896,-0.042384447226990876,0.0054591197917038484,0.000532838626868864,0.008698393867546728,0.013079346952494495,0.011739547923887688,0.06763373306030696,-0.02278449146213717,-0.002323238512385906,0.020820797650334788,-0.002298850120977122
trigger=unknown,0.033657081200967276,-0.009777514520430707,-0.004991124112028528,0.009528074619677475,0.003674684076821854,0.0067836234280696205,0.006271177363188218,-0.004271712607879645,-0.015308146473577302,-0.01682537945170169,-0.0028599430842772043,0.016674436208956877
