,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
external_integration_scope=calendar_integration,-0.018810698281449975,0.0018920220529636018,-0.010876963261085294,-0.015432105027645398,-0.03400741415002163,0.0016001739227783382,0.0003365958745753275,0.08237946206444594,-0.012770191782100024,-0.007773843876936705
external_integration_scope=clickup_only,0.011443445406788074,-0.014175802404473492,0.04728650175285135,-0.020893301152574213,0.06539631875944088,-0.013878831008246816,-0.003475817503418005,-0.07942961152224089,-0.01327116432978199,0.015438882058076751
external_integration_scope=email_integration,-0.016005481577263878,0.001304904010514583,0.002425796770394281,-0.022347599784787845,-0.039138524465712164,0.019270784654523084,-0.004753089651002841,0.07755091144462802,0.001585716998137313,-0.0033964455012696813
external_integration_scope=multiple_external_systems,-0.009581793716558745,0.006595378018420882,-0.02400772446078799,0.00031732369141148557,-0.04109943535153429,0.0018861052029863852,-0.0008863634017896142,0.06823139532033187,-0.002540474889937276,-0.00953643118189358
external_integration_scope=unknown,-0.007563297588761462,0.006419275067366596,0.009104663169267101,-0.007291724258447699,-0.026697413885323998,0.015620160915034756,0.006334563435250413,0.029122595818805833,-0.0025206294366498395,0.00877359739393538
external_integration_scope=web_research_integration,0.010590461622339611,0.011103688159110841,-0.04704905586506452,0.04881945402987377,-0.01619612408616095,0.0010076470538301029,0.005363308566614909,-0.025595326904494342,0.02493592540546966,-0.011972915153545743
