,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
rename_memory,-0.0018848880451363566,-0.0004891797124060123,-0.0007764206480221164,0.006487737323267261,-0.002421657960743692,-0.00014233431355119253,-0.0003130091420862987,-0.002057747527146059,-0.0006414151439494598,-0.0008959107095509374
retrieve_activity,-0.06017355219775866,-0.0166615240624226,-0.016815620701462645,-0.09642021848858043,-0.13055065111917868,0.022879203412395896,-0.004170663714172481,0.3395563405489578,-0.023761829711894156,-0.050471751482568966
retrieve_chat_messages,0.00047559404110472734,-0.013744624593898499,-0.02406037679173336,0.060178410151223376,-0.07260265924676446,0.003778089183700282,0.012065492951999192,0.04091099365207099,-0.018556757111484752,-0.03071150009970881
retrieve_personal_priorities,-0.030696140897626092,-0.011205876049145202,-0.0320807111607894,-0.07599177671728125,-0.07497049444840899,-4.295457224678018e-05,-0.009179566858467663,0.23370159627765583,-0.018962552917219624,-0.028796359004241965
retrieve_tasks_by_filters,-0.09803334202926581,-0.010838130377919239,-0.0055529220048556776,-0.15824983966888162,-0.24772059499573254,0.03943263619966956,0.001981930281837401,0.5748408311161384,-0.032882211367753565,-0.09606807594757011
search_clickup_help_center,-0.00692240973691808,0.0003948503885796158,-0.003476886628845041,-0.002883757497595154,-0.017617942161241906,-0.0011166245659748881,0.0010394942523851624,0.033297926409985204,-0.0028463327162615926,-0.007028494269898584
